index,basin,start_date,end_date,basin_count,over_one_thousand,finished
46,basin_name,11/01/2011,11/30/2011,,,0
47,basin_name,12/01/2011,12/31/2011,,,0
48,basin_name,01/01/2012,01/31/2012,,,0
49,basin_name,02/01/2012,02/29/2012,,,0
50,basin_name,03/01/2012,03/31/2012,,,0
51,basin_name,04/01/2012,04/30/2012,,,0
52,basin_name,05/01/2012,05/31/2012,,,0
53,basin_name,06/01/2012,06/30/2012,,,0
54,basin_name,07/01/2012,07/31/2012,,,0
55,basin_name,08/01/2012,08/31/2012,,,0
56,basin_name,09/01/2012,09/30/2012,,,0
57,basin_name,10/01/2012,10/31/2012,,,0
58,basin_name,11/01/2012,11/30/2012,,,0
59,basin_name,12/01/2012,12/31/2012,,,0
60,basin_name,01/01/2013,01/31/2013,,,0
61,basin_name,02/01/2013,02/28/2013,,,0
62,basin_name,03/01/2013,03/31/2013,,,0
63,basin_name,04/01/2013,04/30/2013,,,0
64,basin_name,05/01/2013,05/31/2013,,,0
65,basin_name,06/01/2013,06/30/2013,,,0
66,basin_name,07/01/2013,07/31/2013,,,0
67,basin_name,08/01/2013,08/31/2013,,,0
68,basin_name,09/01/2013,09/30/2013,,,0
69,basin_name,10/01/2013,10/31/2013,,,0
70,basin_name,11/01/2013,11/30/2013,,,0
71,basin_name,12/01/2013,12/31/2013,,,0
72,basin_name,01/01/2014,01/31/2014,,,0
73,basin_name,02/01/2014,02/28/2014,,,0
74,basin_name,03/01/2014,03/31/2014,,,0
75,basin_name,04/01/2014,04/30/2014,,,0
76,basin_name,05/01/2014,05/31/2014,,,0
77,basin_name,06/01/2014,06/30/2014,,,0
78,basin_name,07/01/2014,07/31/2014,,,0
79,basin_name,08/01/2014,08/31/2014,,,0
80,basin_name,09/01/2014,09/30/2014,,,0
81,basin_name,10/01/2014,10/31/2014,,,0
82,basin_name,11/01/2014,11/30/2014,,,0
83,basin_name,12/01/2014,12/31/2014,,,0
84,basin_name,01/01/2015,01/31/2015,,,0
85,basin_name,02/01/2015,02/28/2015,,,0
86,basin_name,03/01/2015,03/31/2015,,,0
87,basin_name,04/01/2015,04/30/2015,,,0
88,basin_name,05/01/2015,05/31/2015,,,0
89,basin_name,06/01/2015,06/30/2015,,,0
90,basin_name,07/01/2015,07/31/2015,,,0
91,basin_name,08/01/2015,08/31/2015,,,0
92,basin_name,09/01/2015,09/30/2015,,,0
93,basin_name,10/01/2015,10/31/2015,,,0
94,basin_name,11/01/2015,11/30/2015,,,0
95,basin_name,12/01/2015,12/31/2015,,,0
96,basin_name,01/01/2016,01/31/2016,,,0
97,basin_name,02/01/2016,02/29/2016,,,0
98,basin_name,03/01/2016,03/31/2016,,,0
99,basin_name,04/01/2016,04/30/2016,,,0
100,basin_name,05/01/2016,05/31/2016,,,0
101,basin_name,06/01/2016,06/30/2016,,,0
102,basin_name,07/01/2016,07/31/2016,,,0
103,basin_name,08/01/2016,08/31/2016,,,0
104,basin_name,09/01/2016,09/30/2016,,,0
105,basin_name,10/01/2016,10/31/2016,,,0
106,basin_name,11/01/2016,11/30/2016,,,0
107,basin_name,12/01/2016,12/31/2016,,,0
108,basin_name,01/01/2017,01/31/2017,,,0
109,basin_name,02/01/2017,02/28/2017,,,0
110,basin_name,03/01/2017,03/31/2017,,,0
111,basin_name,04/01/2017,04/30/2017,,,0
112,basin_name,05/01/2017,05/31/2017,,,0
113,basin_name,06/01/2017,06/30/2017,,,0
114,basin_name,07/01/2017,07/31/2017,,,0
115,basin_name,08/01/2017,08/31/2017,,,0
116,basin_name,09/01/2017,09/30/2017,,,0
117,basin_name,10/01/2017,10/31/2017,,,0
118,basin_name,11/01/2017,11/30/2017,,,0
119,basin_name,12/01/2017,12/31/2017,,,0
120,basin_name,01/01/2018,01/31/2018,,,0
121,basin_name,02/01/2018,02/28/2018,,,0
122,basin_name,03/01/2018,03/31/2018,,,0
123,basin_name,04/01/2018,04/30/2018,,,0
124,basin_name,05/01/2018,05/31/2018,,,0
125,basin_name,06/01/2018,06/30/2018,,,0
126,basin_name,07/01/2018,07/31/2018,,,0
127,basin_name,08/01/2018,08/31/2018,,,0
128,basin_name,09/01/2018,09/30/2018,,,0
129,basin_name,10/01/2018,10/31/2018,,,0
130,basin_name,11/01/2018,11/30/2018,,,0
131,basin_name,12/01/2018,12/31/2018,,,0
132,basin_name,01/01/2019,01/31/2019,,,0
133,basin_name,02/01/2019,02/28/2019,,,0
134,basin_name,03/01/2019,03/31/2019,,,0
135,basin_name,04/01/2019,04/30/2019,,,0
136,basin_name,05/01/2019,05/31/2019,,,0
137,basin_name,06/01/2019,06/30/2019,,,0
138,basin_name,07/01/2019,07/31/2019,,,0
139,basin_name,08/01/2019,08/31/2019,,,0
140,basin_name,09/01/2019,09/30/2019,,,0
141,basin_name,10/01/2019,10/31/2019,,,0
142,basin_name,11/01/2019,11/30/2019,,,0
143,basin_name,12/01/2019,12/31/2019,,,0
144,basin_name,01/01/2020,01/31/2020,,,0
145,basin_name,02/01/2020,02/29/2020,,,0
146,basin_name,03/01/2020,03/31/2020,,,0
147,basin_name,04/01/2020,04/30/2020,,,0
148,basin_name,05/01/2020,05/31/2020,,,0
149,basin_name,06/01/2020,06/30/2020,,,0
150,basin_name,07/01/2020,07/31/2020,,,0
151,basin_name,08/01/2020,08/31/2020,,,0
152,basin_name,09/01/2020,09/30/2020,,,0
153,basin_name,10/01/2020,10/31/2020,,,0
154,basin_name,11/01/2020,11/30/2020,,,0
155,basin_name,12/01/2020,12/31/2020,,,0
156,basin_name,01/01/2021,01/31/2021,,,0
157,basin_name,02/01/2021,02/28/2021,,,0
158,basin_name,03/01/2021,03/31/2021,,,0
159,basin_name,04/01/2021,04/30/2021,,,0
160,basin_name,05/01/2021,05/31/2021,,,0
161,basin_name,06/01/2021,06/30/2021,,,0
162,basin_name,07/01/2021,07/31/2021,,,0
163,basin_name,08/01/2021,08/31/2021,,,0
164,basin_name,09/01/2021,09/30/2021,,,0
165,basin_name,10/01/2021,10/31/2021,,,0
166,basin_name,11/01/2021,11/30/2021,,,0
167,basin_name,12/01/2021,12/31/2021,,,0
168,basin_name,01/01/2022,01/31/2022,,,0
169,basin_name,02/01/2022,02/28/2022,,,0
170,basin_name,03/01/2022,03/31/2022,,,0
171,basin_name,04/01/2022,04/30/2022,,,0
172,basin_name,05/01/2022,05/31/2022,,,0
173,basin_name,06/01/2022,06/30/2022,,,0
174,basin_name,07/01/2022,07/31/2022,,,0
175,basin_name,08/01/2022,08/31/2022,,,0
176,basin_name,09/01/2022,09/30/2022,,,0
177,basin_name,10/01/2022,10/31/2022,,,0
178,basin_name,11/01/2022,11/30/2022,,,0
179,basin_name,12/01/2022,12/31/2022,,,0
